Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,College of William & Mary,Colonial Athletic Association,Football,VA,87,84,,
2011,2017-2018,University of Wisconsin-Madison,Big Ten Conference,Football,WI,86,72,,
2011,2017-2018,University of Wyoming,Mountain West Conference,Football,WY,78,47,,
2011,2017-2018,Yale University,The Ivy League,Football,CT,98,,,
2011,2017-2018,Youngstown State University,Missouri Valley Football Conference,Football,OH,66,49,,
2011,2017-2018,University of Central Arkansas,Southland Conference,Football,AR,73,52,,
2011,2017-2018,Elon University,Colonial Athletic Association,Football,NC,96,77,,
2011,2017-2018,Gardner-Webb University,Big South Conference,Football,NC,66,52,,
2011,2017-2018,Presbyterian College,Big South Conference,Football,SC,72,57,,
2011,2017-2018,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,54,44,,
2011,2017-2018,University of the Incarnate Word,Southland Conference,Football,TX,78,54,,
2011,2017-2018,Wofford College,Southern Conference,Football,SC,94,82,,
